date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:01	5804/5804	---M--	200	added ('OK')	text/html	date:Tue,%2022%20Mar%202022%2000:41:56%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-signup.html	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-signup.html	(from )
11:24:01	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jul%202024%2005:24:50%20GMT	https://www.masta.com.mx/robots.txt		(from )
11:24:01	1838/1838	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2013:23:12%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/images/favicon-32x32.png	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/images/favicon-32x32.png	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-signup.html)
11:24:02	4138/4138	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2006:05:22%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/plugins/simplebar/css/simplebar.css	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/plugins/simplebar/css/simplebar.css	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-signup.html)
11:24:02	2714/2714	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Nov%202020%2018:51:58%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-signup.html)
11:24:02	2178/2178	---M--	200	added ('OK')	text/css	date:Sat,%2009%20Jan%202021%2023:46:40%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/pace.min.css	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/pace.min.css	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-signup.html)
11:24:03	12364/12364	---M--	200	added ('OK')	application/javascript	date:Mon,%2016%20Nov%202020%2018:47:12%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/js/pace.min.js	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/js/pace.min.js	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-signup.html)
11:24:04	9393/9393	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Jul%202021%2018:58:00%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/bootstrap-extended.css	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/bootstrap-extended.css	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-signup.html)
11:24:05	189391/189391	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Nov%202021%2020:48:38%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/bootstrap.min.css	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/bootstrap.min.css	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-signup.html)
11:24:06	47651/47651	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Mar%202022%2016:51:08%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/app.css	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/app.css	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/authentication-signup.html)
